Country,Gender,Year,OECD,Life_exp
Canada,Total,2018,True,81.9
Canada,Female,2019,True,84.4
Canada,Male,2019,True,80.2
Canada,Total,2019,True,82.3
Canada,Female,2020,True,84.0
Canada,Male,2020,True,79.5
Canada,Total,2020,True,81.7
Canada,Female,2021,True,84.0
Canada,Male,2021,True,79.3
Canada,Total,2021,True,81.6
Chile,Female,2015,True,82.7
Chile,Male,2015,True,77.0
Chile,Total,2015,True,79.8
Chile,Female,2016,True,82.9
Chile,Male,2016,True,77.2
Chile,Total,2016,True,80.0
Chile,Female,2017,True,83.0
Chile,Male,2017,True,77.4
Chile,Total,2017,True,80.2
Chile,Female,2018,True,83.2
Chile,Male,2018,True,77.7
Chile,Total,2018,True,80.4
Chile,Female,2019,True,83.4
Chile,Male,2019,True,77.9
Chile,Total,2019,True,80.6
Chile,Female,2020,True,83.6
Chile,Male,2020,True,78.1
Chile,Total,2020,True,80.8
Chile,Female,2021,True,83.8
Chile,Male,2021,True,78.3
Chile,Total,2021,True,81.0
Chile,Female,2022,True,84.0
Chile,Male,2022,True,78.5
Chile,Total,2022,True,81.2
Chile,Female,2023,True,84.1
Chile,Male,2023,True,78.7
Chile,Total,2023,True,81.4
China (People’s Republic of),Female,2015,False,79.8
China (People’s Republic of),Male,2015,False,74.4
China (People’s Republic of),Total,2015,False,77.0
China (People’s Republic of),Female,2016,False,80.1
China (People’s Republic of),Male,2016,False,74.6
China (People’s Republic of),Total,2016,False,77.2
China (People’s Republic of),Female,2017,False,80.3
China (People’s Republic of),Male,2017,False,74.4
China (People’s Republic of),Total,2017,False,77.2
China (People’s Republic of),Female,2018,False,80.6
China (People’s Republic of),Male,2018,False,75.0
China (People’s Republic of),Total,2018,False,77.7
China (People’s Republic of),Female,2019,False,80.8
China (People’s Republic of),Male,2019,False,75.3
China (People’s Republic of),Total,2019,False,78.0
China (People’s Republic of),Female,2020,False,81.1
China (People’s Republic of),Male,2020,False,75.3
China (People’s Republic of),Total,2020,False,78.1
China (People’s Republic of),Female,2021,False,81.2
China (People’s Republic of),Male,2021,False,75.5
China (People’s Republic of),Total,2021,False,78.2
China (People’s Republic of),Female,2022,False,81.3
China (People’s Republic of),Male,2022,False,76.0
China (People’s Republic of),Total,2022,False,78.6
Colombia,Female,2015,True,78.9
Colombia,Male,2015,True,72.2
Colombia,Total,2015,True,75.4
Colombia,Female,2016,True,79.1
Colombia,Male,2016,True,72.5
Colombia,Total,2016,True,75.7
Colombia,Female,2017,True,79.3
Colombia,Male,2017,True,72.7
Colombia,Total,2017,True,75.9
Colombia,Female,2018,True,79.8
Colombia,Male,2018,True,73.3
Colombia,Total,2018,True,76.5
Colombia,Female,2019,True,79.9
Colombia,Male,2019,True,73.5
Colombia,Total,2019,True,76.6
Colombia,Female,2020,True,80.0
Colombia,Male,2020,True,73.6
Colombia,Total,2020,True,76.7
Colombia,Female,2021,True,80.0
Colombia,Male,2021,True,73.7
Colombia,Total,2021,True,76.8
Colombia,Female,2022,True,80.1
Colombia,Male,2022,True,73.8
Colombia,Total,2022,True,76.9
Costa Rica,Female,2015,True,82.4
Costa Rica,Male,2015,True,77.4
Costa Rica,Total,2015,True,79.9
Costa Rica,Female,2016,True,82.6
Costa Rica,Male,2016,True,77.5
Costa Rica,Total,2016,True,80.0
Costa Rica,Female,2017,True,82.7
Costa Rica,Male,2017,True,77.6
Costa Rica,Total,2017,True,80.2
Costa Rica,Female,2018,True,82.9
Costa Rica,Male,2018,True,77.8
Costa Rica,Total,2018,True,80.3
Costa Rica,Female,2019,True,83.0
Costa Rica,Male,2019,True,77.9
Costa Rica,Total,2019,True,80.5
Costa Rica,Female,2020,True,83.2
Costa Rica,Male,2020,True,78.1
Costa Rica,Total,2020,True,80.6
Costa Rica,Female,2021,True,83.3
Costa Rica,Male,2021,True,78.2
Costa Rica,Total,2021,True,80.8
Costa Rica,Female,2022,True,83.5
Costa Rica,Male,2022,True,78.3
Costa Rica,Total,2022,True,80.9
Costa Rica,Female,2023,True,83.6
Costa Rica,Male,2023,True,78.4
Costa Rica,Total,2023,True,81.0
Croatia,Female,2015,False,80.5
Croatia,Male,2015,False,74.4
Croatia,Total,2015,False,77.5
Croatia,Female,2016,False,81.3
Croatia,Male,2016,False,75.0
Croatia,Total,2016,False,78.2
Croatia,Female,2017,False,81.0
Croatia,Male,2017,False,74.9
Croatia,Total,2017,False,78.0
Croatia,Female,2018,False,81.5
Croatia,Male,2018,False,74.9
Croatia,Total,2018,False,78.2
Croatia,Female,2019,False,81.6
Croatia,Male,2019,False,75.5
Croatia,Total,2019,False,78.6
Croatia,Female,2020,False,80.7
Croatia,Male,2020,False,74.5
Croatia,Total,2020,False,77.6
Croatia,Female,2021,False,79.7
Croatia,Male,2021,False,73.5
Croatia,Total,2021,False,76.6
Croatia,Female,2022,False,80.8
Croatia,Male,2022,False,74.6
Croatia,Total,2022,False,77.7
Croatia,Female,2023,False,81.8
Croatia,Male,2023,False,75.4
Croatia,Total,2023,False,78.6
Czechia,Female,2015,True,81.6
Czechia,Male,2015,True,75.7
Czechia,Total,2015,True,78.7
Czechia,Female,2016,True,82.1
Czechia,Male,2016,True,76.1
Czechia,Total,2016,True,79.1
Czechia,Female,2017,True,82.0
Czechia,Male,2017,True,76.1
Czechia,Total,2017,True,79.1
Czechia,Female,2018,True,82.0
Czechia,Male,2018,True,76.2
Czechia,Total,2018,True,79.1
Czechia,Female,2019,True,82.2
Czechia,Male,2019,True,76.4
Czechia,Total,2019,True,79.3
Czechia,Female,2020,True,81.3
Czechia,Male,2020,True,75.2
Czechia,Total,2020,True,78.2
Czechia,Female,2021,True,80.5
Czechia,Male,2021,True,74.1
Czechia,Total,2021,True,77.2
Czechia,Female,2022,True,81.9
